Name,Symbol
3S,060310
AJ네트웍스,095570
AK홀딩스,006840
APS홀딩스,054620
AP시스템,265520
AP위성,211270
ARIRANG 200,152100
ARIRANG 200동일가중,295820
ARIRANG 200선물레버리지,253150
ARIRANG 200선물인버스2X,253160
ARIRANG ESG가치주액티브,395750
ARIRANG ESG성장주액티브,395760
ARIRANG ESG우수기업,278420
ARIRANG KRX300,292750
ARIRANG KRX300헬스케어,309210
ARIRANG KS로우볼가중TR,333940
ARIRANG KS로우사이즈가중TR,333950
ARIRANG KS모멘텀가중TR,333960
ARIRANG KS밸류가중TR,333970
ARIRANG KS퀄리티가중TR,333980
ARIRANG S&P글로벌인프라,269530
ARIRANG 고배당저변동50,251590
ARIRANG 고배당주,161510
ARIRANG 고배당주채권혼합,251600
ARIRANG 국채선물10년,289670
ARIRANG 국채선물3년,298340
ARIRANG 글로벌MSCI(합성 H),189400
ARIRANG 단기채권액티브,278620
ARIRANG 미국S&P500(H),269540
ARIRANG 미국나스닥테크,287180
ARIRANG 미국다우존스고배당주(합성 H),213630
ARIRANG 미국단기우량회사채,332610
ARIRANG 미국장기우량회사채,332620
ARIRANG 선진국MSCI(합성 H),195970
ARIRANG 스마트베타Quality채권혼합,238670
ARIRANG 신흥국MSCI(합성 H),195980
ARIRANG 신흥국MSCI인버스(합성 H),373530
ARIRANG 심천차이넥스트(합성),256450
ARIRANG 우량회사채50 1년,239660
ARIRANG 주도업종,280920
ARIRANG 중형주저변동50,266550
ARIRANG 코스닥150,301400
ARIRANG 코스닥150선물인버스,301410
ARIRANG 코스피,227830
ARIRANG 코스피50,122090
ARIRANG 코스피TR,328370
ARIRANG 코스피중형주,301440
ARIRANG 탄소효율그린뉴딜,376250
BGF,027410
BGF리테일,282330
BNGT,032790
BNK금융지주,138930
BYC,001460
BYC우,001465
CBI,013720
CJ,001040
CJ CGV,079160
CJ ENM,035760
CJ4우(전환),00104K
CJ대한통운,000120
CJ씨푸드,011150
CJ씨푸드1우,011155
CJ우,001045
CJ제일제당,097950
CJ제일제당 우,097955
CJ프레시웨이,051500
CMG제약,058820
CNH,023460
CNT85,056730
COWON,056000
CS,065770
CSA 코스믹,083660
CS홀딩스,000590
DB,012030
DB금융스팩8호,367340
DB금융스팩9호,367360
DB금융투자,016610
DB손해보험,005830
DB하이텍,000990
DB하이텍1우,000995
DGB금융지주,139130
DI동일,001530
DL,000210
DL건설,001880
DL우,000215
DL이앤씨,375500
DL이앤씨우,37550K
DMS,068790
DRB동일,004840
DSC인베스트먼트,241520
DSR,155660
DSR제강,069730
E1,017940
EDGC,245620
EG,037370
EMB,278990
EMW,079190
ESR켄달스퀘어리츠,365550
ES큐브,050120
F&F,383220
F&F홀딩스,007700
FOCUS ESG리더스,285690
FOCUS KRX300,292730
FOCUS 혁신기업액티브,402520
FSN,214270
GB국민참여정책형뉴딜A,73501BB4
GB국민참여정책형뉴딜C,73502BB4
GB국민참여정책형뉴딜I,73503BB4
GB중소성장기업A,73501BA2
GB중소성장기업C,73502BA2
GB중소성장기업I,73503BA2
GH신소재,130500
GKL,114090
GRT,900290
GS,078930
GST,083450
GS건설,006360
GS글로벌,001250
GS리테일,007070
GS우,078935
GV,045890
HANARO 200,293180
HANARO 200 TOP10,407310
HANARO 200TR,332930
HANARO 200선물레버리지,304780
HANARO 200선물인버스,306520
HANARO Fn K-POP&미디어,395290
HANARO Fn K-게임,395280
HANARO Fn K-뉴딜디지털플러스,368190
HANARO Fn K-메타버스MZ,402460
HANARO Fn K-반도체,395270
HANARO Fn5G산업,367740
HANARO Fn골프테마,407300
HANARO Fn전기&수소차,381560
HANARO Fn친환경에너지,381570
HANARO KAP초장기국고채,346000
HANARO KRX300,304760
HANARO KRX기후변화솔루션,404470
HANARO MSCI Korea TR,332940
HANARO e커머스,322400
HANARO 고배당,322410
HANARO 글로벌럭셔리S&P(합성),354350
HANARO 글로벌탄소배출권선물ICE(합성),401590
HANARO 농업융복합산업,314700
HANARO 단기채권액티브,390950
HANARO 코스닥150,304770
HANARO 코스닥150선물레버리지,306530
HANARO 탄소효율그린뉴딜,375760
HB솔루션,297890
HB테크놀러지,078150
HDC,012630
HDC아이콘트롤스,039570
HDC현대EP,089470
HDC현대산업개발,294870
HK S&P코리아로우볼,215620
HK 베스트일레븐액티브,391670
HK 하이볼액티브,391680
HK이노엔,195940
HMM,011200
HRS,036640
HSD엔진,082740
IBK 국민참여정책형뉴딜 혼합자산 A,75801BB4
IBK 국민참여정책형뉴딜 혼합자산 C,75802BB4
IBKS제12호스팩,335870
IBKS제13호스팩,351340
IBKS제14호스팩,351320
IBKS제15호스팩,373200
IBKS제16호스팩,388790
IHQ,003560
ISC,095340
ITX-AI,099520
JB금융지주,175330
JTC,950170
JW생명과학,234080
JW신약,067290
JW중외제약,001060
JW중외제약2우B,001067
JW중외제약우,001065
JW홀딩스,096760
JYP Ent.,035900
KB FnGuide 언택트 ETN,580011
KB KOSDAQ 150 선물 ETN,580030
KB KOSPI 200 선물 ETN,580028
KB KRX ESG Eco ETN,580013
KB KRX300 ETN,580012
KB Wise 분할매매 ETN,580010
KB 레버리지 KRX 2차전지 K-뉴딜 ETN,580025
KB 레버리지 KRX BBIG K-뉴딜 ETN,580024
KB 레버리지 S&P 500 선물 ETN(H),580016
KB 레버리지 구리 선물 ETN(H),580032
KB 레버리지 금 선물 ETN(H),580022
KB 레버리지 나스닥 100 ETN,580015
KB 레버리지 은 선물 ETN(H),580026
KB 레버리지 항셍테크 선물 ETN(H),580018
KB 와이즈 스타 부동산 자 2 A,71901B96
KB 와이즈 스타 부동산 자 2 C-F,71902B96
KB 와이즈 스타 부동산 자 2 C-I,71903B96
KB 인버스 2X S&P 500 선물 ETN,580017
KB 인버스 2X 구리 선물 ETN(H),580033
KB 인버스 2X 금 선물 ETN(H),580023
KB 인버스 2X 나스닥 100 ETN,580014
KB 인버스 2X 은 선물 ETN(H),580027
KB 인버스 2X 항셍테크 선물 ETN,580019
KB 인버스 KOSDAQ150 선물 ETN,580031
KB 인버스 KOSPI 200 선물 ETN,580029
KB 인버스 천연가스 선물 ETN,580021
KB 천연가스 선물 ETN(H),580020
KBG634롯데케미콜,58G634
KBG635삼성전자콜,58G635
KBG636삼성전자콜,58G636
KBG637셀트리온콜,58G637
KBG638삼성전자콜,58G638
KBG639삼성전자콜,58G639
KBG640삼성전자콜,58G640
KBG641삼성중콜,58G641
KBG863삼성전자콜,58G863
KBG940KOSPI200콜,58G940
KBG941KOSPI200콜,58G941
KBG942KOSPI200콜,58G942
KBG943KOSPI200콜,58G943
KBG944KOSPI200콜,58G944
KBG945KOSPI200풋,58G945
KBG946KOSPI200풋,58G946
KBG947KOSPI200풋,58G947
KBG948KOSPI200풋,58G948
KBG949KOSPI200풋,58G949
KBGB02케이티지콜,58GB02
KBGB03엘지디스콜,58GB03
KBGB04엘지전자콜,58GB04
KBGB05LG화학콜,58GB05
KBGB06POSCO콜,58GB06
KBGB07바스켓콜,58GB07
KBGB08SK하이닉콜,58GB08
KBGB09삼성SDI콜,58GB09
KBGB10삼성SDS콜,58GB10
KBGB11삼성전자콜,58GB11
KBGB12삼성전자풋,58GB12
KBGB13신한지주콜,58GB13
KBGB14하나금융콜,58GB14
KBGB15SK하이닉콜,58GB15
KBGB16삼성전자콜,58GB16
KBGB17셀트리온콜,58GB17
KBGB18삼성전자콜,58GB18
KBGB19삼성전자풋,58GB19
KBGB75KOSPI200콜,58GB75
KBGB76KOSPI200콜,58GB76
KBGB77KOSPI200콜,58GB77
KBGB78KOSPI200콜,58GB78
KBGB79KOSPI200콜,58GB79
KBGB80KOSPI200콜,58GB80
KBGB81KOSPI200콜,58GB81
KBGB82KOSPI200콜,58GB82
KBGB83KOSPI200콜,58GB83
KBGB84KOSPI200콜,58GB84
KBGC72엘지디스콜,58GC72
KBGC73엘지전자콜,58GC73
KBGC74LG화학콜,58GC74
KBGC76POSCO콜,58GC76
KBGC77SK콜,58GC77
KBGC78SK이노콜,58GC78
KBGC80SK하이닉콜,58GC80
KBGC81SK하이닉콜,58GC81
KBGC82기아콜,58GC82
KBGC85삼성SDI콜,58GC85
KBGC86삼성물산콜,58GC86
KBGC87삼성바이콜,58GC87
KBGC88삼성전기콜,58GC88
KBGC89삼성전자풋,58GC89
KBGC90셀트리온콜,58GC90
KBGC91셀트제약콜,58GC91
KBGC92셀트헬스콜,58GC92
KBGC93아모레콜,58GC93
KBGC94NC소프트콜,58GC94
KBGC95이마트콜,58GC95
KBGC98하나금융콜,58GC98
KBGC99글로비스콜,58GC99
KBGD02현대차콜,58GD02
KBGD03호텔신라콜,58GD03
KBGD05LG화학콜,58GD05
KBGD06네이버콜,58GD06
KBGD07POSCO콜,58GD07
KBGD09SK하이닉콜,58GD09
KBGD10기아콜,58GD10
KBGD12롯데케미콜,58GD12
KBGD13삼성SDI콜,58GD13
KBGD14삼성바이콜,58GD14
